Field of study and sex,1985_Number,2000_Number,2015_Number
Female_Physical_science,569,"1,022","1,988"
Female_Engineering ,198,838,"2,301"
Female_Education,"3,491","4,179","3,502"
Female_Humanities,"1,392","2,672","2,832"
